真不知道这种流行是哪来的[允悲]说实话我个人觉得演员又不用所谓宠粉那一套，就算不戴我才觉得正常。朴叙俊那个头箍比这种好多了，主要是那个态度吧，让女演员多尴尬,正面
哈哈哈哈哈哈哈哈,正面
hgr好矫情全员骂栗子[老师好],负面
钱难挣，屎难吃。,负面
挺好笑的看看plq还在自我矮化，本来这些人做点映或者线下就是为了吸引观众，吸引观众又摆个大架子，真是又想赚钱又装的低情商，我看有些人只配看被80个保安围着臭脸的明星,正面
申叔啊 泪目[悲伤],正面
申河均哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈不开玩笑，我看到他真的笑到了……[泪],正面
会不会是乐在其中呢[doge],正面
赚那么多钱戴个头箍都不愿意啊,正面
[doge]平时情商好听高的啊 这次肿么了,正面
笑死还以为是池城,正面
叔………,正面
看看评论区就知道为什么你种208这么多呢,负面
申河均哈哈哈哈哈哈,正面
哈哈哈哈哈哈哈申叔可爱死了[抓狂],正面
哈哈哈哈哈,正面
啊啊啊啊啊啊啊啊河均啊,正面
啊啊蛮萌的,正面
啊啊啊啊啊啊啊啊啊,正面
哈哈哈哈哈哈哈,正面
四叶草是世界上最好的粉丝吧[泪][泪][泪],正面
这群人真的很爱你们@TFBOYS-王俊凯 @TFBOYS-王源 @TFBOYS-易烊千玺 ,正面
团粉做好了最后的收尾[悲伤],正面
四叶草真的是最温柔最美好的团粉💧💧💧💧,正面
弯下腰捡垃圾的，真的好多好多是草妹啊[泪]可是垃圾实在是太多了[泪],正面
她们会一边捡一边流泪吗[悲伤],正面
六周年也有[单身青蛙] http://t.cn/A60H32Za,正面
最好的团家[泪],正面
她们真的像橙色一样温暖又明亮,正面
全世界最好的四叶草[泪][泪][泪],正面
不悔入团家[泪],正面
能做团粉就说明她们足够温柔💧,正面
就想问票根谁丢的,负面
我爱四叶草一辈子,正面
团粉圈子太温暖了[悲伤][悲伤][悲伤]我要在这住下了[泪][泪][泪]大家别散可以吗[泪][泪][泪],正面
四叶草🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀[泪][泪][泪],正面
因为捡垃圾我们的群名就叫帝国破烂儿回收站[悲伤] http://t.cn/A60HBMyj,正面
@TFBOYS-王俊凯 @TFBOYS-王源 @TFBOYS-易烊千玺 说千万次她们对你们的爱很纯粹很真诚真的善良与温柔的爱你们应该知道。,正面
那个票根是工作人员剪了自己扔在地上的[允悲][允悲]不是粉丝扔的,正面
她们才是真的给了一个很完美很体面的结尾[泪][泪][泪],正面
嗨咯，大家好~我是@扒姐有料 正能量博主哦！期待各位的投稿，值得您关注，求关注！做我铁粉，有福同享有难同当！[心],正面
笑死我了三喜那个生无可恋还带点小恨的表情哈哈哈哈哈哈哈哈哈哈,正面
果然，旅行是检验两个人适不适合在一起最好的方法[笑cry][笑cry],正面
三喜真的好生气哄不好的那种，哈哈哈哈哈哈哈哈,正面
三喜爸：终于治好了三喜的恋爱脑[doge],正面
我恨你，我恨你，我恨你。[笑cry],正面
马杨：马里奥你完了 马里奥：完了，爸爸咋完了？我咋啦爸爸？我咋完了？,正面
哈哈哈哈哈笑死 http://t.cn/A60NYRLj,正面
况爸笑的嘞哈哈哈哈,正面
笑死了   三喜的表情   结果马立奥还在开心自己赢了,正面
马立奥:三喜，以后坐我飞机 三喜:板凳都坐不上，还坐飞机,正面
松子：我赢了[打call]    三喜：真正的心寒不是大吵大闹[苦涩]     况盛：看见了吧，其他男人都是不可靠的，只有爸爸是最好的[打call],正面
哈哈哈，马里奥懵懵的还不知道自己干了啥[笑cry],正面
三喜眼神都空洞了[允悲],正面
这两个宝贝太可爱了[舔屏][舔屏][舔屏][舔屏],正面
三喜：我简直不敢相信我的眼睛[哈哈],负面
最开心的就是况盛了[笑cry],正面
[doge]松子改变不了直男属性的，只是偶尔嘴甜来掩盖自己,正面
三喜四岁认清男人的嘴骗人的鬼[doge],正面
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈况爸放心了，三喜不会轻易被马里奥拐走了哈哈哈哈哈哈,正面
美神降临 http://t.cn/A60HBZOv,正面
两个舞台solo都特别有创意！！一直在抱一抱，妹妹上花轿[抓狂][抓狂]出不来根本出不来，你知道你老板多牛逼吗[抓狂][抓狂],负面
啊啊啊  会弄teng我的[苦涩] http://t.cn/A60HBACK,正面
告诉老板，他真的特别棒,正面
老板[好爱哦][好爱哦][好爱哦][好爱哦] http://t.cn/A60HBww6,正面
好帅啊千玺,负面
